epoch,accuracy,loss,val_accuracy,val_loss
0,0.36174923181533813,1.3319799900054932,0.46685880422592163,1.2737188339233398
1,0.6484915614128113,0.9930620789527893,0.6628242135047913,0.9374508261680603
2,0.797121524810791,0.5803450345993042,0.6887608170509338,0.8047348856925964
3,0.8461112380027771,0.41821524500846863,0.7118155360221863,0.7766213417053223
4,0.8815388679504395,0.3328612446784973,0.6858789920806885,0.8500752449035645
5,0.9036811590194702,0.27313047647476196,0.7031700015068054,0.8628859519958496
6,0.9261001944541931,0.22399809956550598,0.6829971075057983,0.9131576418876648
7,0.9377248883247375,0.1900065392255783,0.6974063515663147,0.9575966000556946
8,0.947965681552887,0.167519673705101,0.6599423885345459,1.012373447418213
9,0.9568225741386414,0.14297498762607574,0.6945244669914246,1.0299848318099976
10,0.9629117250442505,0.1256464421749115,0.7060518860816956,1.1288995742797852
11,0.9662330746650696,0.11279399693012238,0.680115282535553,1.1421419382095337
12,0.9687240719795227,0.10562770813703537,0.6858789920806885,1.1551709175109863
13,0.9723221659660339,0.09564719349145889,0.6887608170509338,1.2082008123397827
14,0.9717686176300049,0.0919448509812355,0.6714697480201721,1.2606430053710938
15,0.9706615209579468,0.09040556102991104,0.6916426420211792,1.303584337234497
16,0.9745364189147949,0.08214246481657028,0.6772334575653076,1.3066760301589966
17,0.9731525182723999,0.0792393609881401,0.6714697480201721,1.3615347146987915
18,0.975089967250824,0.07514672726392746,0.680115282535553,1.400520920753479
19,0.974259614944458,0.07216914743185043,0.6858789920806885,1.3615013360977173
20,0.9761970639228821,0.06856689602136612,0.6945244669914246,1.4072701930999756
21,0.9781345129013062,0.06515428423881531,0.6858789920806885,1.4424594640731812
22,0.9789648652076721,0.06260146200656891,0.6743515729904175,1.4936236143112183
23,0.9781345129013062,0.0661432072520256,0.6945244669914246,1.4759994745254517
24,0.9767506122589111,0.058946143835783005,0.680115282535553,1.5372228622436523
